# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
juan ji 	卷积	c=5 d=2.90588 t=119202
juan ji ceng 	卷积層	c=2 d=1.52466 t=119304
juan ji he 	卷积核	c=3 d=1 t=112566
juan ji shen jing 	卷积神經	c=2 d=1 t=119322
jue bi 	絕壁	c=1 d=1 t=33985
jue ce 	決策	c=8 d=1 t=126253
jue ce fen 	決策分	c=1 d=1 t=5650
jue ce fen shu 	决策分数	c=1 d=1 t=5482
jue ce shu 	決策樹	c=1 d=1 t=45111
jue de 	覺得	c=186 d=1.20654 t=134504
jue ding 	決定	c=31 d=1.05613 t=134091
jue dui 	絕對	c=10 d=1 t=134323
jue dui lu jing 	绝对路径	c=1 d=1 t=77876
jue dui zhi 	絕對值	c=5 d=1 t=125220
jue er 	角兒	c=1 d=1.09501 t=71425
jue huo 	絕活	c=1 d=1 t=68419
jue ji 	絕技	c=1 d=1 t=119083
jue le 	絕了	c=1 d=1 t=358
jue mi 	絕密	c=1 d=1 t=53611
jue pei 	絕配	c=2 d=1.00023 t=102897
jue qi 	崛起	c=1 d=1 t=55180
jue se 	角色	c=0 d=0.1 t=5349
jue se ming 	角色名	c=1 d=1 t=5350
jue sha 	絕殺	c=1 d=1 t=115290
jue sheng 	決勝	c=4 d=2.91202 t=28097
jue wang 	絕望	c=3 d=1.04016 t=108687
jue wei 	爵位	c=1 d=1 t=19883
jue wu 	覺悟	c=2 d=1 t=129235
jue xin 	決心	c=2 d=1 t=120761
jue zhan 	決戰	c=1 d=1 t=103025
jun 	君	c=4 d=1.00014 t=96361
jun 	均	c=1 d=1 t=20302
jun dui 	軍隊	c=1 d=1 t=64091
jun heng 	均衡	c=1 d=1 t=110232
jun jie 	俊傑	c=1 d=1 t=111921
jun jun 	俊俊	c=1 d=1 t=11389
jun lin 	君臨	c=1 d=1 t=22201
jun shi 	均勢	c=0 d=0.1 t=43410
jun shi 	軍事	c=3 d=2.9216 t=110861
jun shi ju 	均勢局	c=1 d=1 t=43411
jun shu 	均數	c=1 d=1 t=34367
jun tan 	均攤	c=1 d=1 t=13914
jun wei 	均爲	c=1 d=1 t=7499
jun xian 	均線	c=1 d=1 t=69074
jun yun 	均勻	c=1 d=1 t=70368
jun yun fen bu 	均匀分布	c=1 d=1 t=107199
jun zhi 	均值	c=11 d=1 t=119272
ka 	卡	c=46 d=2.69484 t=131595
ka a 	卡啊	c=1 d=1 t=107775
ka bu 	卡布	c=0 d=0.1 t=106606
ka bu da 	卡布嗒	c=1 d=1 t=106607
ka bu qi nuo 	卡布奇諾	c=1 d=1 t=70166
ka de 	卡得	c=1 d=1 t=33551
ka fang 	卡方	c=2 d=1 t=44091
ka fei 	咖啡	c=17 d=1 t=122812
ka fei ting 	咖啡廳	c=2 d=1 t=88600
ka hao 	卡號	c=2 d=1.92312 t=50219
ka hui 	咖灰	c=3 d=1.01274 t=81875
ka le 	卡了	c=5 d=1 t=123325
ka pai 	卡牌	c=6 d=1 t=99364
ka si 	卡死	c=2 d=1 t=108958
ka wo 	卡我	c=1 d=1 t=13373
ka zai 	卡在	c=1 d=1 t=126122
ka zhe 	卡着	c=0 d=0.1 t=75094
ka zhong 	卡中	c=1 d=1 t=50396
ka zhu 	卡住	c=4 d=1 t=133365
kai 	凱	c=11 d=1 t=113733
kai 	鎧	c=9 d=1 t=129154
kai 	開	c=65 d=1 t=131655
kai ba 	开吧	c=1 d=1 t=102830
kai bao 	開包	c=1 d=1 t=57695
kai bo 	開播	c=3 d=1 t=110129
kai chang 	開場	c=2 d=1.99005 t=19666
kai chang bai 	開場白	c=1 d=1 t=20312
kai che 	開車	c=7 d=1 t=86459
kai chu 	開除	c=3 d=1 t=133401
kai chuang 	開窗	c=1 d=1 t=109750
kai chuang zhe 	開創者	c=1 d=1 t=23325
kai cuo 	开错	c=1 d=1 t=106739
kai da 	開大	c=5 d=1 t=124950
kai da 	開打	c=2 d=1 t=119007
kai dao 	開到	c=3 d=1 t=129503
kai dao 	開導	c=2 d=1.97531 t=34880
kai di 	愷弟	c=1 d=1 t=106161
kai diao 	开掉	c=2 d=1 t=32741
kai fa 	開發	c=40 d=1.72615 t=134697
kai fa liang 	开发量	c=3 d=1 t=56417
kai fang 	開房	c=17 d=1 t=129494
kai fang 	開放	c=7 d=1 t=92495
kai ge 	凯哥	c=2 d=1 t=108090
kai ge 	開個	c=4 d=1 t=132218
kai ge da 	開個大	c=1 d=1 t=35993
kai ge pan 	開個盤	c=1 d=1 t=90104
kai gong si 	開公司	c=1 d=1 t=23680
kai gua 	开挂	c=2 d=1 t=113080
kai guang 	開光	c=1 d=1 t=124410
kai he zi 	開盒子	c=1 d=1 t=93293
kai hei 	开黑	c=1 d=1 t=82741
kai hu 	開壺	c=1 d=1 t=55434
kai hu 	開戶	c=1 d=1 t=55435
kai huang 	凯皇	c=2 d=1 t=63549
kai hui 	開會	c=9 d=1 t=121616
kai ji 	開機	c=2 d=1 t=91454
kai jia 	鎧甲	c=1 d=1 t=105473
kai ju 	开菊	c=17 d=1.08937 t=114186
kai ju 	開具	c=1 d=1 t=124131
kai ju 	開局	c=10 d=1 t=123125
kai ju he 	开局和	c=0 d=0.1 t=43617
kai ka 	开卡	c=20 d=1.99502 t=70478
kai kou 	開口	c=1 d=1 t=126736
kai lai 	開來	c=1 d=1 t=106934
kai le 	開了	c=65 d=1 t=134336
kai liang tian 	開兩天	c=1 d=1 t=49643
kai men 	開門	c=2 d=1 t=49897
kai pan 	開盤	c=1 d=1 t=55784
kai piao 	開票	c=2 d=1 t=64489
kai qi 	開啓	c=5 d=1 t=126798
kai qi lai 	開起來	c=2 d=1 t=80300
kai quan xian 	开权限	c=1 d=1 t=8320
kai shen 	凱神	c=1 d=1 t=45581
kai shi 	開始	c=92 d=1.77515 t=134533
kai shi le 	开始了	c=1 d=1 t=64643
kai shui 	開水	c=2 d=1 t=120473
kai suo 	開鎖	c=2 d=1.71892 t=95983
kai tou 	開頭	c=6 d=1 t=70264
kai tuan 	开团	c=17 d=1 t=93469
kai wan 	開完	c=2 d=1 t=41453
kai wan hui 	开完会	c=4 d=1 t=128581
kai wan xiao 	開玩笑	c=3 d=1 t=131262
kai wan xiao de 	开玩笑的	c=1 d=1 t=73215
kai xin 	開心	c=15 d=1 t=134253
kai xue 	開學	c=1 d=1 t=81451
kai yi ju 	开一局	c=2 d=1 t=128765
kai yi xia 	开一下	c=2 d=1.73712 t=8426
kai yu yin 	开语音	c=1 d=1 t=87509
kai yuan 	開源	c=10 d=2.22624 t=123051
kai yuan shi xian 	開源實現	c=1 d=1 t=1742
kai zhan 	開戰	c=1 d=1 t=90727
kai zhi bo 	开直播	c=1 d=1 t=23420
kai zu 	開組	c=1 d=1 t=129426
kan 	看	c=308 d=1.00045 t=134055
kan 	砍	c=5 d=1 t=102551
kan ban 	看板	c=0 d=0.1 t=8804
kan ban niang 	看板娘	c=1 d=1 t=8805
kan bing 	看病	c=2 d=1.01323 t=12651
kan bu 	堪布	c=1 d=1 t=735
kan bu chu lai 	看不出來	c=3 d=1 t=115440
kan bu dao 	看不到	c=15 d=1 t=111190
kan bu dong 	看不懂	c=8 d=1.00002 t=105647
kan bu guan 	看不慣	c=1 d=1 t=26533
kan bu guo 	看不過	c=0 d=0.1 t=62810
kan bu guo lai 	看不過來	c=1 d=1 t=62811
kan bu jian 	看不見	c=5 d=1 t=78771
kan bu qi 	看不起	c=2 d=1 t=62858
kan bu qing 	看不清	c=2 d=1 t=90876
kan bu shang 	看不上	c=1 d=1 t=15450
kan bu tou 	看不透	c=1 d=1 t=95181
kan bu xia qu 	看不下去	c=4 d=1 t=117084
kan cheng 	看成	c=1 d=1 t=15558
kan chu 	看出	c=2 d=1 t=107203
kan chu xiao guo 	看出效果	c=1 d=1 t=73818
kan cuo 	看錯	c=6 d=1 t=132646
kan dai 	看呆	c=2 d=1 t=129501
kan dai le 	看呆了	c=1 d=1 t=109198
kan dao 	看到	c=95 d=1.25666 t=131547
kan dao wo 	看到我	c=1 d=1 t=35289
kan dao yi ge 	看到一个	c=1 d=1 t=77963
kan de 	看得	c=3 d=1.03206 t=63909
kan de chu lai 	看得出來	c=2 d=1 t=45815
kan de dao 	看得到	c=1 d=1 t=72619
kan dian shi 	看電視	c=5 d=1 t=101696
kan dian ying 	看電影	c=3 d=1 t=74428
kan dong 	看懂	c=2 d=1 t=97171
kan duo 	看多	c=1 d=1 t=126421
kan fa 	看法	c=2 d=1 t=134070
kan ge 	看個	c=4 d=1 t=124253
kan ge shu 	看個數	c=1 d=1 t=78821
kan guo 	看過	c=22 d=0.100008 t=130922
kan guo o 	看過哦	c=1 d=1 t=130923
kan guo yi xie 	看过一些	c=1 d=1 t=89400
kan hao 	看好	c=6 d=1 t=125323
kan hui er 	看会儿	c=1 d=1 t=113750
kan hui er shu 	看会儿书	c=1 d=1 t=88557
kan ji hui 	看机会	c=1 d=1 t=117525
kan jian 	看見	c=7 d=1.00001 t=119531
kan ju 	看剧	c=3 d=1 t=129562
kan kan 	看看	c=142 d=1.00102 t=134349
kan la 	看啦	c=1 d=1 t=12186
kan lai 	看來	c=16 d=1 t=131625
kan le 	看了	c=48 d=1.00001 t=134387
kan le 	砍了	c=3 d=1.93707 t=95899
kan ni 	看你	c=24 d=1 t=131923
kan pa 	看怕	c=1 d=1 t=30455
kan pan 	看盤	c=1 d=1 t=83929
kan pian 	看片	c=1 d=1 t=100605
kan po 	看破	c=2 d=1 t=109546
kan qi 	看齊	c=2 d=1 t=127703
kan qi lai 	看起來	c=60 d=1 t=130730
kan qing 	看清	c=2 d=1.00208 t=97734
kan qing chu 	看清楚	c=1 d=1 t=84693
kan qing kuang 	看情況	c=4 d=1 t=120334
kan qiu 	看球	c=8 d=1 t=115182
kan quan 	看全	c=1 d=1 t=20655
kan shang 	看上	c=1 d=1 t=120628
kan shen me 	看什麼	c=4 d=1 t=125568
kan shen me kan 	看什麼看	c=1 d=1 t=4886
kan shi fou 	看是否	c=1 d=1 t=12656
kan shi jian 	看时间	c=1 d=1 t=19689
kan shi pin 	看视频	c=2 d=1 t=111836
kan shu 	看数	c=2 d=0.1 t=40448
kan shu 	看書	c=4 d=1.99501 t=119315
kan si 	看似	c=3 d=1 t=128232
kan si 	砍死	c=2 d=1 t=37038
kan ta 	看他	c=4 d=1 t=117296
kan ti 	看題	c=1 d=1 t=120271
kan tou 	看透	c=0 d=0.1 t=133702
kan tou 	砍頭	c=1 d=1 t=54901
kan wan 	看完	c=17 d=1 t=121836
kan wen ti 	看問題	c=1 d=1 t=64179
kan wo 	看我	c=6 d=1 t=105520
kan wo 	砍我	c=1 d=1 t=25115
kan wo fa xian 	看我发现	c=1 d=1 t=22376
kan xi 	看戲	c=3 d=1 t=55885
kan xia 	看下	c=4 d=1.00239 t=107729
kan xia lai 	看下來	c=1 d=1 t=85044
kan xing ge 	看星哥	c=2 d=1 t=76291
kan yang zi 	看樣子	c=1 d=1 t=56053
kan yi bian 	看一遍	c=1 d=1 t=33498
kan yi duan 	看一段	c=1 d=1 t=48225
kan yi ge 	看一个	c=1 d=1 t=133380
kan yi ji 	看一集	c=2 d=1 t=96565
kan yi kan 	看一看	c=2 d=1 t=126139
kan yi sheng 	看醫生	c=1 d=1 t=122643
kan yi tian 	看一天	c=1 d=1 t=12652
kan yi xia 	看一下	c=46 d=1 t=133376
kan yi xie 	看一些	c=4 d=1 t=133247
kan yi yan 	看一眼	c=1 d=0.1 t=131992
kan yong 	堪用	c=1 d=1 t=20767
kan you mei you 	看有没有	c=1 d=1 t=84527
kan zai 	看在	c=1 d=1 t=85449
kan zhe 	看着	c=8 d=1 t=130535
kan zhe ge 	看这个	c=2 d=1 t=24816
kan zhen rong 	看陣容	c=1 d=1 t=61847
kan zhi biao 	看指標	c=1 d=1 t=1748
kan zhi bo 	看直播	c=1 d=1 t=109822
kan zhong 	看中	c=1 d=1 t=119411
kan zhong 	看重	c=3 d=1 t=132169
kan zhun 	看準	c=2 d=1 t=115640
kan zuo 	看作	c=1 d=1 t=2868
kang 	康	c=1 d=1 t=103548
kang bu zhu 	扛不住	c=1 d=1 t=106756
kang kang 	康康	c=4 d=1 t=133304
kang le 	扛了	c=1 d=1 t=11656
kang ya 	抗壓	c=1 d=1 t=85289
kang zhu 	扛住	c=1 d=1 t=22770
kao 	烤	c=3 d=1 t=64954
kao 	考	c=9 d=1 t=125162
kao 	靠	c=26 d=1 t=133533
kao bu kao pu 	靠不靠谱	c=1 d=1 t=46991
kao cha 	考察	c=6 d=1.06395 t=128101
kao hai 	靠海	c=1 d=1 t=78478
kao he 	考覈	c=1 d=1 t=123950
kao jin 	靠近	c=4 d=1 t=99974
kao liang 	考量	c=1 d=1 t=128156
kao lv 	考慮	c=42 d=1.10814 t=134090
kao lv yi xia 	考虑一下	c=2 d=1 t=113005
kao pu 	靠譜	c=23 d=1.09163 t=118165
kao rou 	烤肉	c=1 d=1 t=114755
kao ru zhu 	烤乳猪	c=1 d=1 t=115174
kao sheng 	考生	c=1 d=1 t=10511
kao shi 	考試	c=8 d=1 t=46302
kao ta 	靠他	c=0 d=0.1 t=56723
kao wan 	考完	c=1 d=1 t=92146
kao ya 	烤鴨	c=6 d=1 t=104102
kao yu 	烤魚	c=3 d=1 t=81036
ke 	克	c=4 d=1.07283 t=121518
ke 	刻	c=1 d=1 t=84823
ke 	可	c=27 d=1.0011 t=134627
ke 	客	c=5 d=1.95123 t=102720
ke 	棵	c=1 d=1 t=75527
ke 	殼	c=0 d=0.1 t=35280
ke 	科	c=2 d=1 t=105928
ke 	課	c=2 d=1.08437 t=115656
ke 	顆	c=7 d=1 t=131950
ke ai 	可愛	c=11 d=1 t=90011
ke ben 	課本	c=1 d=1 t=3207
ke bu yi yang 	可不一樣	c=1 d=1 t=34322
ke ceng 	可曾	c=1 d=1 t=90386
ke chang 	客場	c=1 d=1 t=57003
ke chang jin qiu 	客场进球	c=1 d=1 t=57009
ke cheng 	課程	c=6 d=1.00538 t=116819
ke chuan 	客串	c=1 d=1 t=42611
ke da 	可達	c=0 d=0.1 t=108021
ke da ya 	可達鴨	c=1 d=1 t=108022
ke dao 	可導	c=2 d=2.06489 t=6410
ke de 	可得	c=1 d=1 t=116057
ke du xing 	可讀性	c=1 d=1 t=25856
ke fou 	可否	c=1 d=1 t=125650
ke fu 	客服	c=9 d=1 t=132735
ke guan 	可觀	c=0 d=0.1 t=124782
ke hou 	課後	c=1 d=1 t=3211
ke hu 	客戶	c=14 d=1.00001 t=134560
ke hu duan 	客戶端	c=2 d=1 t=24429
ke hua 	刻畫	c=1 d=1 t=103655
ke huai 	磕壞	c=1 d=1 t=124467
ke huan 	科幻	c=1 d=1 t=91809
ke huan mi 	科幻迷	c=2 d=1.91393 t=1851
ke ji 	柯基	c=1 d=1 t=76791
ke ji 	科技	c=12 d=1 t=134585
ke ji guan 	科技館	c=1 d=1 t=83954
ke ji suan 	可計算	c=1 d=1 t=14906
ke ji yuan 	科技園	c=1 d=1 t=134174
ke jia 	可加	c=2 d=1 t=109918
ke jia 	客家	c=2 d=1.90937 t=74767
ke jia ren 	客家人	c=4 d=2.83712 t=133286
ke jia xing 	可加性	c=1 d=1 t=45039
ke jian 	課間	c=2 d=1 t=55515
ke jian shi jian 	課間時間	c=1 d=1 t=5788
ke jie shi xing 	可解释性	c=4 d=1 t=116905
ke jin 	氪金	c=1 d=1 t=116087
ke jin ban 	氪金版	c=1 d=1 t=18166
ke kao xing 	可靠性	c=1 d=1 t=110359
ke ke 	苛刻	c=1 d=1 t=36679
ke kong 	可控	c=1 d=1 t=14656
ke le 	可樂	c=1 d=1 t=77403
ke lian 	可憐	c=8 d=1 t=131939
ke lian 	可联	c=1 d=1 t=58429
ke long 	克隆	c=1 d=1 t=44309
ke mu 	科目	c=1 d=1 t=3239
ke neng 	可能	c=409 d=1.33903 t=134641
ke neng xing 	可能性	c=1 d=1 t=34756
ke pa 	可怕	c=29 d=1.21228 t=122496
ke pu 	科普	c=1 d=1 t=3270
ke qi 	客氣	c=2 d=0.1 t=113986
ke qi le 	客气了	c=1 d=0.790734 t=88461
ke qian yi 	可迁移	c=1 d=1 t=116869
ke qun 	客羣	c=5 d=1 t=112370
ke shang xian 	可上線	c=1 d=1 t=27412
ke shi 	科室	c=1 d=1 t=97746
ke shi hua 	可視化	c=23 d=1 t=124868
ke shu 	棵樹	c=0 d=0.1 t=112884
ke si 	克斯	c=1 d=1.05123 t=13230
ke ti 	課題	c=2 d=1 t=19132
ke wang 	渴望	c=1 d=1 t=119543
ke wang du 	渴望度	c=1 d=1 t=65181
ke wei 	可微	c=1 d=1.00003 t=6224
ke wu 	可惡	c=1 d=1 t=82036
ke xi 	可惜	c=10 d=1 t=117497
ke xin 	可信	c=1 d=1 t=12187
ke xing 	可行	c=3 d=1 t=105188
ke xing 	顆星	c=2 d=1 t=129059
ke xing jie 	可行解	c=1 d=1 t=38681
ke xuan 	可選	c=1 d=1 t=130769
ke xue 	科學	c=10 d=1.00048 t=132981
ke xue bu 	科學部	c=1 d=1 t=88321
ke xue jia 	科學家	c=12 d=1 t=122570
ke yan 	科研	c=1 d=1 t=13
ke yi 	可以	c=692 d=2.185 t=134778
ke yi 	可疑	c=1 d=1 t=12654
ke yi shuo 	可以說	c=1 d=1 t=117819
ke yi zhi jie 	可以直接	c=1 d=1 t=128706
ke yong 	可用	c=6 d=1 t=80377
ke zai sheng 	可再生	c=0 d=0.1 t=110349
ke zhi 	剋制	c=5 d=1 t=129264
ken 	啃	c=3 d=1 t=101518
ken ding 	肯定	c=30 d=1.99642 t=130623
ken ding shi 	肯定是	c=1 d=1 t=46758
ken ding you 	肯定有	c=1 d=1 t=8728
ken lao 	啃老	c=1 d=1 t=82943
ken ni ya 	肯尼亞	c=1 d=1 t=103641
keng 	坑	c=23 d=1.00631 t=132601
keng bi 	坑比	c=2 d=0.1 t=61255
keng can 	坑惨	c=1 d=1 t=33190
keng die 	坑爹	c=3 d=1 t=90853
keng le 	坑了	c=4 d=1 t=61821
keng lv 	坑率	c=1 d=1 t=28374
keng ren 	坑人	c=1 d=1 t=70342
keng wei 	坑位	c=1 d=1 t=43920
keng wo 	坑我	c=1 d=1 t=17921
keng yi bo 	坑一波	c=1 d=1 t=30049
kong 	孔	c=1 d=1 t=94473
kong 	控	c=10 d=1 t=122023
kong 	空	c=18 d=1.00116 t=130445
kong bai 	空白	c=1 d=1 t=112401
kong bu 	恐怖	c=3 d=0.1 t=102149
kong bu zhu 	控不住	c=1 d=1 t=109656
kong chu 	空出	c=1 d=1 t=75915
kong dong 	空洞	c=1 d=1 t=37999
kong ge 	空格	c=1 d=1 t=32230
kong gu 	控股	c=4 d=3.51721 t=87239
kong hang 	空行	c=1 d=1 t=26019
kong huang 	恐慌	c=1 d=1 t=8221
kong jian 	空間	c=47 d=1 t=130777
kong jian zhong 	空間中	c=1 d=1 t=42753
kong jiang 	空降	c=1 d=1 t=75011
kong jie 	空姐	c=1 d=1 t=115575
kong ju 	恐懼	c=2 d=1 t=36081
kong le 	空了	c=2 d=1 t=125240
kong mei 	空沒	c=1 d=1 t=87042
kong qi 	空氣	c=3 d=1 t=120454
kong tiao 	空調	c=1 d=1 t=104009
kong tiao che 	空調車	c=1 d=1 t=61250
kong wei 	空位	c=2 d=1 t=105408
kong wen rui 	孔文睿	c=3 d=1.72615 t=32861
kong xian 	空閒	c=2 d=1 t=80761
kong zhe 	空着	c=1 d=1 t=76248
kong zhi 	控制	c=36 d=1 t=122281
kong zhi 	空值	c=3 d=1.99005 t=83496
kong zhi bu zhu 	控制不住	c=1 d=1 t=22165
kong zuo 	空座	c=0 d=0.1 t=93360
kou 	口	c=3 d=1 t=131540
kou 	釦	c=10 d=1 t=129759
kou bao 	口爆	c=1 d=1 t=124966
kou bei 	口碑	c=14 d=3.39317 t=134739
kou chu 	扣出	c=0 d=0.1 t=64736
kou chu xue 	扣出血	c=1 d=1 t=64737
kou dai 	口袋	c=1 d=1 t=23688
kou dai yao guai 	口袋妖怪	c=1 d=1 t=108035
kou ding 	抠顶	c=1 d=1 t=108922
kou fen 	扣分	c=2 d=1 t=120683
kou feng 	口風	c=1 d=1 t=89517
kou jiao 	抠脚	c=2 d=0.1 t=131902
kou jing 	口徑	c=1 d=1 t=88267
kou kuan 	扣款	c=2 d=1.94649 t=55457
kou le 	扣了	c=1 d=1 t=79244
kou ling 	口令	c=3 d=1 t=107874
kou ling pai 	口令牌	c=1 d=1 t=71597
kou qiang 	口腔	c=3 d=2.94605 t=97576
kou shui 	口水	c=1 d=1 t=90399
kou wei 	口味	c=1 d=1 t=92702
kou wen 	口吻	c=1 d=1 t=78492
kou yi 	口以	c=4 d=1 t=76865
kou yin 	口音	c=1 d=1 t=84069
kou zhao 	口罩	c=1 d=1 t=113822
ku 	哭	c=3 d=1 t=128444
ku 	庫	c=5 d=1 t=123693
ku 	苦	c=4 d=1 t=128430
ku 	褲	c=1 d=1 t=134542
ku an 	酷安	c=1 d=1 t=127463
ku bi 	苦比	c=1 d=1 t=51731
ku dang 	褲襠	c=1 d=1 t=82566
ku guo 	哭過	c=1 d=1 t=128450
ku ha ha 	苦哈哈	c=1 d=1 t=108313
ku ji ji 	哭唧唧	c=1 d=1 t=82339
ku le 	哭了	c=3 d=1 t=83545
ku le 	苦了	c=2 d=1 t=115522
ku pai 	酷派	c=1 d=1 t=77650
ku xuan 	酷炫	c=2 d=1 t=110872
ku zao 	枯燥	c=5 d=1.70822 t=108859
ku zi 	褲子	c=6 d=1.02086 t=101079
kua 	垮	c=0 d=0.1 t=23635
kua 	誇	c=13 d=1 t=131757
kua 	跨	c=4 d=1 t=129011
kua bao 	挎包	c=2 d=1 t=103155
kua du 	跨度	c=3 d=1 t=131107
kua jie 	跨界	c=1 d=1 t=109797
kua kua 	誇誇	c=3 d=1 t=85738
kua kua qun 	誇誇羣	c=1 d=1 t=11255
kua le 	誇了	c=2 d=1 t=114594
kua qu 	跨區	c=1 d=1 t=54575
kua zan 	誇讚	c=2 d=1.21225 t=114601
kuai 	塊	c=19 d=0.100206 t=132258
kuai 	快	c=47 d=1.05642 t=128006
kuai chuan 	快傳	c=1 d=1 t=134681
kuai chuan 	快船	c=1 d=1 t=94597
kuai dao 	快到	c=3 d=1.22993 t=126409
kuai di 	快遞	c=16 d=1 t=128368
kuai di gui 	快遞櫃	c=3 d=1.94176 t=127216
kuai dian 	快點	c=1 d=1 t=69441
kuai gan 	快感	c=1 d=1 t=26920
kuai gong 	快攻	c=2 d=1 t=116661
kuai ji 	會計	c=1 d=1 t=61032
kuai jie 	快捷	c=2 d=1 t=85480
kuai jie shu 	快结束	c=1 d=1 t=33215
kuai jie zou 	快節奏	c=1 d=1 t=29009
kuai lai 	快來	c=8 d=1 t=124600
kuai le 	快了	c=1 d=1 t=64304
kuai le 	快樂	c=45 d=1 t=129762
kuai le bu qi lai 	快樂不起來	c=1 d=1 t=70202
kuai le zhong 	快樂中	c=2 d=1 t=105550
kuai qian 	塊錢	c=27 d=1 t=117759
kuai qian 	快錢	c=1 d=1 t=35345
kuai qiang shou 	快枪手	c=1 d=1 t=104399
kuai shang che 	快上车	c=1 d=1 t=129452
kuai shang xian 	快上線	c=1 d=1 t=90039
kuai shou 	快手	c=11 d=1.83527 t=134742
kuai shui ba 	快睡吧	c=1 d=1 t=75277
kuai su 	快速	c=25 d=1 t=132573
kuai tao 	快逃	c=1 d=1 t=27960
kuai yi ge yue 	快一個月	c=2 d=1 t=66312
kuai yi nian 	快一年	c=1 d=1 t=66323
kuai yi xie 	快一些	c=1 d=1 t=93796
kuai zou 	快走	c=1 d=1 t=111725
kuan 	寬	c=5 d=1.00009 t=134345
kuan 	款	c=4 d=1 t=108010
kuan biao 	宽表	c=1 d=1 t=50662
kuan du 	寬度	c=1 d=1 t=79509
kuan kuo 	寬闊	c=1 d=1 t=4279
kuan rong 	寬容	c=0 d=0.1 t=115424
kuan rong du 	寬容度	c=1 d=1 t=115425
kuang 	框	c=1 d=1 t=79538
kuang huan 	狂歡	c=1 d=1 t=97137
kuang jia 	框架	c=33 d=1 t=127075
kuang jiang 	狂降	c=1 d=1 t=119496
kuang kuang 	框框	c=1 d=1 t=73369
kuang pen 	狂噴	c=1 d=1 t=66404
kuang tie 	狂鐵	c=8 d=1.09209 t=112213
kuang zhu ren 	框住人	c=1 d=1 t=52115
kui 	愧	c=1 d=1 t=92467
kui 	虧	c=1 d=1 t=82392
kui dao 	虧到	c=1 d=1 t=88025
kui hai 	奎海	c=5 d=1 t=73427
kui le 	虧了	c=2 d=1 t=100243
kui lei 	傀儡	c=1 d=1 t=90639
kui qian 	虧錢	c=1 d=1 t=46205
kun 	困	c=3 d=1 t=114904
kun 	坤	c=0 d=0.1 t=84417
kun 	捆	c=1 d=1 t=41414
kun jing 	困境	c=2 d=1.84789 t=1719
kun kun 	困困	c=1 d=1 t=86802
kun la 	困啦	c=1 d=1 t=40986
kun lun 	崑崙	c=1 d=1 t=118419
kun nan 	困難	c=3 d=1 t=132018
kuo 	闊	c=1 d=1 t=16257
kuo chong 	擴充	c=1 d=1 t=5839
kuo da 	擴大	c=1 d=1 t=103661
kuo hao 	括號	c=7 d=1 t=105624
kuo yi 	阔以	c=4 d=1 t=110557
kuo zhan 	擴展	c=5 d=1.00001 t=65323
kuo zhan cheng xu 	擴展程序	c=1 d=1 t=32318
kuo zhan xing 	擴展性	c=1 d=1 t=8563
kuo zhao 	擴招	c=1 d=1 t=75515
la 	啦	c=23 d=1 t=128926
la 	拉	c=54 d=1.66938 t=129216
la 	辣	c=4 d=1.47951 t=111222
la ba 	喇叭	c=1 d=1 t=100793
la bi 	拉比	c=0 d=0.1 t=77072
la bi ke 	拉比克	c=1 d=1 t=77073
la bu liao wo 	拉不了我	c=1 d=1 t=97860
la bu zhu 	拉不住	c=1 d=1 t=93788
la chang 	拉長	c=1 d=1 t=114488
la che 	拉扯	c=1 d=1 t=124653
la cheng 	拉成	c=1 d=1 t=87965
la chu lai 	拉出來	c=1 d=1 t=134009
la dao 	拉倒	c=1 d=1 t=61321
la dao 	拉到	c=2 d=1 t=106787
la di 	拉低	c=1 d=1 t=119504
la ge 	拉个	c=7 d=1 t=129787
la hei 	拉黑	c=2 d=1 t=131425
la ji 	垃圾	c=26 d=1 t=130593
la ji 	辣鸡	c=60 d=1.00002 t=133811
la ji ba dao 	拉雞巴到	c=1 d=1 t=35375
la ji bi 	垃圾币	c=1 d=1 t=55539
la ji che 	垃圾車	c=2 d=1 t=86818
la ji dui you 	垃圾队友	c=1 d=1 t=84895
la ji fen lei 	垃圾分類	c=1 d=1 t=79710
la ji gong si 	垃圾公司	c=1 d=1 t=56695
la ji hua 	垃圾话	c=1 d=1 t=58803
la ji tong 	垃圾筒	c=4 d=1.00081 t=72578
la ji you xi 	垃圾遊戲	c=1 d=1 t=56833
la kai 	拉開	c=1 d=1 t=90644
la la 	啦啦	c=0 d=0.1 t=78595
la la la la 	啦啦啦啦	c=0 d=0.1 t=78595
la la la la la la 	啦啦啦啦啦啦	c=1 d=1 t=78596
la le 	拉了	c=5 d=1 t=125218
la le ge 	拉了个	c=2 d=1 t=115353
la long 	拉攏	c=2 d=1 t=131626
la man 	拉滿	c=2 d=1 t=68704
la ni 	拉你	c=4 d=1 t=85790
la ni liang 	拉你倆	c=1 d=1 t=44985
la pu la si 	拉普拉斯	c=2 d=1 t=30640
la qi 	拉起	c=1 d=1 t=752
la qi lai 	拉起來	c=2 d=1 t=114385
la ren 	拉人	c=2 d=1 t=107958
la shang 	拉上	c=4 d=1 t=81784
